OFFLINESHOP_TOOLTIP_RIGHT_CLICK_FOR_SALE	|Eemoji/key_rclick|e sale item
OFFLINESHOP_CANT_SELECT_ITEM_DURING_BUILING	You can't do this while creating a private shop
OFFLINESHOP_CREATE_SHOP_NO_NAME_INSERTED	You have to insert the name of the shop.
OFFLINESHOP_CREATE_SHOP_INVALID_DURATION	You have to insert an valid duration.
OFFLINESHOP_CREATE_SHOP_NO_ITEMS_INSERTED	You have to insert items in the shop.
OFFLINESHOP_ITEMS_COUNT_TEXT	( %d items)
OFFLINESHOP_BUILDING_LEFT_CLICK_EDIT_PRICE	|Eemoji/key_lclick|e edit item's price
OFFLINESHOP_BUILDING_LEFT_CLICK_CTRL_REMOVE_ITEM	|Eemoji/key_lclick|e + |Eemoji/key_ctrl|e remove item
OFFLINESHOP_DAY_TEXT	%d Days
OFFLINESHOP_HOUR_TEXT	%d Hours
OFFLINESHOP_MINUTE_TEXT	%d Minutes
OFFLINESHOP_OPEN_SHOP_LEFT_CLICK_BUY_ITEM	|Eemoji/key_lclick|e buy item
OFFLINESHOP_OPEN_SHOP_LEFT_CLICK_MAKE_OFFER	|Eemoji/key_lclick|e + |Eemoji/key_ctrl|e make offer
OFFLINESHOP_BUY_ITEM_QUESTION_ACCEPT	Buy
OFFLINESHOP_BUY_ITEM_QUESTION_CANCEL	Cancel
OFFLINESHOP_BUY_ITEM_QUESTION_COUNT	Do you want to buy %s x %d for %d yang?
OFFLINESHOP_BUY_ITEM_QUESTION	Do you want to buy %s for %d yang?
OFFLINESHOP_BUY_ITEM_QUESTION_COUNT2	Do you want to buy %s x %d for %d yang and %d won?
OFFLINESHOP_BUY_ITEM_QUESTION2	Do you want to buy %s for %d yang and %d won?
OFFLINESHOP_EDIT_SHOPNAME_DESCRIPTION	Insert the new name:
OFFLINESHOP_EDIT_SHOPNAME_TITLE	Edit name
OFFLINESHOP_EDIT_SHOPNAME_TOOLTIP	Edit name
OFFLINESHOP_NAME_SUGGESTION_UNSELECT	Select item
OFFLINESHOP_TYPE_COMBOBOX_NOSET	Select type
OFFLINESHOP_TYPE_COMBOBOX_WEAPON	Weapon
OFFLINESHOP_TYPE_COMBOBOX_ARMOR	Equipment
OFFLINESHOP_TYPE_COMBOBOX_METIN	Metin Stone
OFFLINESHOP_TYPE_COMBOBOX_FISH	Fish
OFFLINESHOP_TYPE_COMBOBOX_SKILLBOOK	Skill Book
OFFLINESHOP_TYPE_COMBOBOX_BLEND	Blend
OFFLINESHOP_TYPE_COMBOBOX_DS	Dragon Soul
OFFLINESHOP_TYPE_COMBOBOX_RING	Ring
OFFLINESHOP_TYPE_COMBOBOX_BELT	Belt
OFFLINESHOP_TYPE_COMBOBOX_COSTUME	Costume
OFFLINESHOP_TYPE_COMBOBOX_METIN	Stone
OFFLINESHOP_TYPE_COMBOBOX_GIFTBOX	Chest
OFFLINESHOP_TYPE_COMBOBOX_REFINE	Refine
OFFLINESHOP_COMBOBOX_WEAPON_SWORD	Sword
OFFLINESHOP_COMBOBOX_WEAPON_DAGGER	Dagger
OFFLINESHOP_COMBOBOX_WEAPON_BOW	Bow
OFFLINESHOP_COMBOBOX_WEAPON_TWO_HANDED	Two hand
OFFLINESHOP_COMBOBOX_WEAPON_BELL	Bell
OFFLINESHOP_COMBOBOX_WEAPON_FAN	Fan
OFFLINESHOP_COMBOBOX_WEAPON_CLAW	Claw
OFFLINESHOP_COMBOBOX_ARMOR_BODY	Armour
OFFLINESHOP_COMBOBOX_ARMOR_HEAD	Head
OFFLINESHOP_COMBOBOX_ARMOR_SHIELD	Shield
OFFLINESHOP_COMBOBOX_ARMOR_WRIST	Wrist
OFFLINESHOP_COMBOBOX_ARMOR_FOOTS	Foots
OFFLINESHOP_COMBOBOX_ARMOR_NECK	Neck
OFFLINESHOP_COMBOBOX_ARMOR_EAR	Ear
OFFLINESHOP_COMBOBOX_COSTUME_BODY	Costume Body
OFFLINESHOP_COMBOBOX_COSTUME_HAIR	Costume Hair
OFFLINESHOP_COMBOBOX_COSTUME_MOUNT	Costume Mount
OFFLINESHOP_COMBOBOX_COSTUME_ACCE	Costume Sash
OFFLINESHOP_COMBOBOX_COSTUME_WEAPON	Costume Weapon
OFFLINESHOP_ATTR_UNSET	Select Attribute
OFFLINESHOP_ATTR_MAX_HP	Max HP
OFFLINESHOP_ATTR_MAX_SP	Max SP
OFFLINESHOP_ATTR_CON	CON
OFFLINESHOP_ATTR_INT	INT
OFFLINESHOP_ATTR_STR	STR
OFFLINESHOP_ATTR_DEX	DEX
OFFLINESHOP_ATTR_ATT_SPEED	Attack Speed
OFFLINESHOP_ATTR_MOV_SPEED	Mov. Speed
OFFLINESHOP_ATTR_CAST_SPEED	Cast Speed
OFFLINESHOP_ATTR_HP_REGEN	HP Regen
OFFLINESHOP_ATTR_SP_REGEN	SP Regen
